:: ERROR: Unable to proceed: no support for sourcing from '[dash|sh]' shell.
   This script must be sourced. Did you execute or source this script?
   Can be caused by sourcing from inside a "shebang-less" script.
   Can also be caused by sourcing from ZSH version 4.x or older.
LAMMPS (2 Aug 2023)
WARNING: Using I/O redirection is unreliable with parallel runs. Better to use the -in switch to read input files. (../lammps.cpp:537)
Reading restart file ...
  restart file = 2 Aug 2023, LAMMPS = 2 Aug 2023
  restoring atom style full from restart
  orthogonal box = (1.3688094 1.3688094 1.3688094) to (42.256959 42.256959 42.256959)
  2 by 2 by 3 MPI processor grid
  restoring pair style lj/cut/coul/long from restart
  restoring bond style harmonic from restart
  restoring angle style harmonic from restart
  3000 atoms
  2000 bonds
  1000 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     1 = max # of 1-3 neighbors
     1 = max # of 1-4 neighbors
     2 = max # of special neighbors
  special bonds CPU = 0.002 seconds
  read_restart CPU = 0.014 seconds
2000 atoms in group carb
1000 atoms in group oxy
Finding SHAKE clusters ...
       0 = # of size 2 clusters
    1000 = # of size 3 clusters
       0 = # of size 4 clusters
       0 = # of frozen angles
  find clusters CPU = 0.002 seconds
Resetting global fix info from restart file:
  fix style: npt, fix ID: runnpt
Resetting global fix info from restart file:
  fix style: npt, fix ID: runnpt
PPPM initialization ...
  using 12-bit tables for long-range coulomb (../kspace.cpp:342)
  G vector (1/distance) = 0.22940094
  grid = 32 32 32
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00036424429
  estimated relative force accuracy = 1.0969109e-06
  using double precision KISS FFT
  3d grid and FFT values/proc = 10051 3072
Generated 1 of 1 mixed pair_coeff terms from geometric mixing rule
All restart file global fix info was re-assigned
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 17
  ghost atom cutoff = 17
  binsize = 8.5, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/long, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 15000000
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 8.968 | 9.285 | 9.35 Mbytes
   Step         PotEng         KinEng         TotEng         Press           Temp           c_2            c_3            c_5      
  15000000  -1688.2152      1782.7919      94.57671      -605.27086      256.43408      177.18299      31395.807      1.149        
  15000500  -1737.483       1764.8         27.31707       214.31856      253.84615      177.25435      31421.236      1.1490025    
  15001000  -1721.4339      1779.4068      57.972862     -28.51434       255.94716      177.22719      31411.612      1.1490035    
  15001500  -1708.212       1778.1908      69.978783      202.2714       255.77226      177.21415      31407.05       1.149008     
  15002000  -1667.2184      1760.4206      93.202254      191.28287      253.21622      177.16181      31388.55       1.1490086    
  15002500  -1685.9617      1771.8114      85.849728      23.177608      254.85466      177.24779      31418.932      1.1489937    
  15003000  -1688.9805      1760.5797      71.599212      206.70577      253.23911      177.21491      31407.427      1.1489964    
  15003500  -1700.0702      1746.8484      46.77822      -57.175512      251.26401      177.30848      31440.456      1.1490183    
  15004000  -1615.5584      1726.6002      111.04172      45.686131      248.35154      177.12596      31375.688      1.1490164    
  15004500  -1646.685       1778.0519      131.36685     -75.885022      255.75228      177.199        31401.589      1.1490032    
  15005000  -1624.2703      1680.4458      56.175504      127.08513      241.71276      177.22976      31412.428      1.1489906    
  15005500  -1694.2544      1734.2302      39.975806      127.22418      249.44904      177.23995      31416.237      1.1489858    
  15006000  -1720.5568      1722.6149      2.0581251      114.82236      247.77831      177.20587      31403.963      1.1490122    
  15006500  -1669.3165      1753.8969      84.580446      16.809104      252.27786      177.23818      31415.542      1.1490177    
  15007000  -1621.3523      1753.4295      132.07713     -190.39835      252.21062      177.16707      31390.387      1.1489993    
  15007500  -1653.2948      1734.0245      80.729728     -53.950073      249.41945      177.21363      31406.838      1.1489812    
  15008000  -1698.4591      1763.6489      65.18972       82.235456      253.68057      177.20304      31403.14       1.1490023    
  15008500  -1708.1687      1777.375       69.206253      230.94422      255.65491      177.22356      31410.27       1.1489839    
  15009000  -1727.2225      1785.8599      58.63737       260.14164      256.87537      177.19413      31400.042      1.1490184    
  15009500  -1701.0621      1803.8035      102.74137      183.3936       259.45635      177.23838      31415.604      1.1489897    
  15010000  -1752.895       1780.34        27.444909      307.61352      256.08139      177.25091      31419.979      1.1489816    
  15010500  -1717.9316      1746.9255      28.993986      161.7067       251.27511      177.20424      31403.551      1.1490085    
  15011000  -1704.2671      1804.8979      100.63076      38.680384      259.61376      177.21303      31406.541      1.1490069    
  15011500  -1673.0345      1769.1201      96.085614      159.26767      254.46754      177.16239      31388.75       1.1489986    
  15012000  -1733.8233      1812.3589      78.535611      55.304562      260.68695      177.23184      31413.206      1.1489964    
  15012500  -1669.3579      1772.7297      103.37183     -0.46051747     254.98675      177.14881      31383.878      1.1490105    
  15013000  -1681.0817      1800.4216      119.33994      87.153566      258.96991      177.25199      31420.398      1.1489981    
  15013500  -1698.9645      1852.9285      153.96408      129.91395      266.52242      177.1785       31394.405      1.1490023    
  15014000  -1658.0785      1787.8148      129.73629     -42.579498      257.15656      177.14705      31383.286      1.1490088    
  15014500  -1654.0004      1774.485       120.48462      112.42829      255.23923      177.19926      31401.601      1.1489873    
  15015000  -1657.2333      1815.7728      158.53947      99.578796      261.17799      177.1667       31390.233      1.149007     
  15015500  -1668.765       1810.5218      141.7568       32.741835      260.4227       177.25487      31421.395      1.1489711    
  15016000  -1676.3646      1717.5312      41.166531      125.19178      247.04707      177.15705      31386.849      1.1490133    
  15016500  -1663.6003      1728.7463      65.14599      -92.106939      248.66024      177.22613      31411.078      1.1490152    
  15017000  -1634.8234      1787.0464      152.22297      73.435581      257.04603      177.14404      31382.138      1.1490082    
  15017500  -1642.2383      1741.9982      99.759883      122.87495      250.56637      177.20279      31403.14       1.148989     
  15018000  -1688.4954      1725.2439      36.748464      89.880779      248.15646      177.24873      31419.053      1.1489991    
  15018500  -1627.4947      1690.9814      63.486697     -17.184224      243.22818      177.18038      31395.037      1.149001     
  15019000  -1615.7173      1737.8927      122.17531      235.33633      249.97583      177.19973      31401.852      1.1490155    
  15019500  -1646.9206      1742.2975      95.37694       82.593407      250.60943      177.21968      31408.898      1.1489965    
  15020000  -1636.0372      1677.1132      41.076064     -106.62546      241.23341      177.19104      31398.815      1.1489905    
  15020500  -1716.5965      1758.8671      42.270648      187.86217      252.99277      177.25156      31420.081      1.1489801    
  15021000  -1679.8269      1764.2187      84.391736      254.22599      253.76253      177.18789      31397.66       1.1490209    
  15021500  -1646.4445      1762.8896      116.44512      115.86706      253.57135      177.25045      31419.844      1.1489976    
  15022000  -1616.8843      1781.3083      164.42398      100.99544      256.22067      177.14521      31382.666      1.1489917    
  15022500  -1624.8413      1792.8197      167.97846      223.11048      257.87646      177.18188      31395.674      1.1490002    
  15023000  -1643.1123      1771.6273      128.51502      126.59105      254.82817      177.20511      31403.683      1.1490076    
  15023500  -1615.6987      1764.9656      149.26686      304.77052      253.86996      177.15169      31385.073      1.1490151    
  15024000  -1634.8549      1805.4221      170.56725      28.264605      259.68917      177.18805      31397.672      1.1489946    
  15024500  -1650.971       1768.4844      117.51339      130.59326      254.37611      177.23488      31414.362      1.1489878    
  15025000  -1665.629       1793.3858      127.75682      146.70184      257.95788      177.1365       31379.504      1.1489956    
  15025500  -1709.532       1764.7061      55.174123      63.202684      253.83264      177.20378      31403.241      1.1489938    
  15026000  -1679.9942      1789.576       109.58174      133.03117      257.40988      177.24808      31419.01       1.1490236    
  15026500  -1703.7008      1768.7299      65.029089      50.783217      254.41142      177.16637      31390.025      1.1490126    
  15027000  -1625.638       1733.5393      107.90133     -75.19731       249.34966      177.21406      31406.957      1.1490193    
  15027500  -1581.8433      1791.1695      209.32619      6.772032       257.6391       177.17016      31391.545      1.1490145    
  15028000  -1587.8418      1792.1391      204.29733      24.172852      257.77856      177.14156      31381.439      1.148997     
  15028500  -1589.2146      1754.2377      165.02311      159.0457       252.32688      177.17088      31391.627      1.1489982    
  15029000  -1593.2477      1765.2755      172.02776      218.1507       253.91454      177.15079      31384.492      1.1490052    
  15029500  -1594.0676      1759.5775      165.50993      303.5146       253.09495      177.17498      31393.216      1.1489919    
  15030000  -1644.3301      1809.2081      164.87793      102.65843      260.23373      177.13581      31379.215      1.1489975    
  15030500  -1651.405       1784.3448      132.93973     -64.529347      256.65743      177.20335      31403.21       1.1490069    
  15031000  -1615.9357      1781.5291      165.59332      103.04854      256.25243      177.16665      31390.247      1.1490029    
  15031500  -1650.6588      1765.4438      114.78496     -2.9199057      253.93875      177.2503       31419.891      1.1489765    
  15032000  -1702.3023      1812.0172      109.71488      243.25526      260.6378       177.18883      31398.051      1.1489928    
  15032500  -1676.3737      1799.342       122.9684       161.11232      258.81462      177.21249      31406.496      1.1490106    
  15033000  -1721.7162      1783.1428      61.426519      83.596309      256.48454      177.20003      31401.905      1.149013     
  15033500  -1629.9627      1747.6899      117.72718      5.5213444      251.38505      177.17248      31392.163      1.1490018    
  15034000  -1681.4556      1801.2268      119.77119      23.855891      259.08572      177.20315      31402.91       1.1489919    
  15034500  -1668.8037      1766.2264      97.422706      74.18338       254.05132      177.18459      31396.392      1.1489936    
  15035000  -1702.1587      1723.2755      21.116819      38.211616      247.87333      177.23018      31412.629      1.1490013    
  15035500  -1681.6269      1703.7556      22.128643      152.78297      245.06561      177.23398      31413.894      1.148998     
  15036000  -1716.6137      1761.5138      44.900014      156.90012      253.37346      177.22705      31411.532      1.1490009    
  15036500  -1703.7776      1749.9208      46.143181     -24.250179      251.70594      177.23505      31414.34       1.1490076    
  15037000  -1691.0167      1781.1875      90.170762      13.322338      256.20329      177.17752      31393.869      1.1489892    
  15037500  -1718.224       1755.7418      37.517804      149.42905      252.54324      177.224        31410.373      1.1489977    
  15038000  -1696.7827      1756.7627      59.979951      157.79122      252.69007      177.17074      31391.587      1.1490009    
  15038500  -1654.5334      1777.6311      123.09774      98.28613       255.69175      177.19903      31401.515      1.1490177    
  15039000  -1644.9352      1778.2874      133.35216     -43.122402      255.78615      177.16897      31390.945      1.1490108    
  15039500  -1616.7637      1740.1816      123.41783      58.376668      250.30507      177.19589      31400.57       1.1490061    
  15040000  -1652.7972      1756.7563      103.95909      49.294651      252.68916      177.20615      31404.014      1.1490048    
  15040500  -1607.9019      1760.6044      152.70253      31.19642       253.24266      177.16823      31390.674      1.1490103    
  15041000  -1596.284       1749.2036      152.91958      107.70193      251.60278      177.1634       31389.011      1.1489912    
  15041500  -1715.0971      1831.9188      116.82178     -7.5358493      263.50042      177.17674      31393.754      1.1490002    
  15042000  -1687.85        1801.8905      114.04045      171.99568      259.18118      177.21599      31407.644      1.1490105    
  15042500  -1688.4065      1752.3073      63.90084       4.5706202      252.04921      177.21563      31407.465      1.1490251    
  15043000  -1671.6807      1755.0441      83.36334       29.330309      252.44287      177.2661       31425.432      1.1489966    
  15043500  -1583.6305      1707.666       124.0354      -61.578164      245.62807      177.14701      31383.388      1.1490014    
  15044000  -1643.1058      1751.8284      108.72261      57.242698      251.98033      177.26055      31423.312      1.1489778    
  15044500  -1654.379       1765.0844      110.70541     -5.9910054      253.88705      177.20839      31404.987      1.1490002    
  15045000  -1615.4664      1763.5931      148.12668      171.60738      253.67254      177.15999      31387.822      1.1489975    
  15045500  -1684.0672      1816.1675      132.10028      45.300399      261.23476      177.23541      31414.491      1.1489958    
  15046000  -1668.489       1778.2803      109.79131      203.72636      255.78513      177.13647      31379.525      1.1490118    
  15046500  -1654.6661      1714.1791      59.513001      88.663274      246.56491      177.23836      31415.581      1.1490121    
  15047000  -1694.667       1782.4353      87.768284     -175.98075      256.38278      177.19959      31401.813      1.1489801    
  15047500  -1711.8595      1761.1435      49.284054      151.45161      253.3202       177.22381      31410.3        1.1490121    
  15048000  -1711.0947      1761.2306      50.135926     -12.372664      253.33273      177.23917      31415.812      1.1490041    
  15048500  -1682.9732      1744.912       61.938731     -13.781704      250.98548      177.21568      31407.41       1.1490213    
  15049000  -1607.8398      1729.6991      121.85929      46.406081      248.79729      177.15156      31384.817      1.149006     
  15049500  -1608.3244      1722.5956      114.27124     -53.009178      247.77553      177.2219       31409.714      1.1490112    
  15050000  -1590.2858      1690.6571      100.37132      65.589372      243.18155      177.16113      31388.31       1.148989     
  15050500  -1672.2579      1744.3634      72.105466      97.183573      250.90658      177.23541      31414.373      1.1489905    
  15051000  -1677.8082      1749.3788      71.57058       34.620126      251.62799      177.21548      31407.556      1.1490069    
  15051500  -1614.4482      1750.1734      135.72518      113.7684       251.74228      177.17228      31392.079      1.1490192    
  15052000  -1619.5674      1779.8252      160.25781      112.5004       256.00735      177.1838       31396.254      1.1489994    
  15052500  -1600.0936      1790.7566      190.66303      135.85227      257.57971      177.13414      31378.545      1.1490191    
  15053000  -1563.1539      1762.8876      199.73369      182.49503      253.57107      177.17092      31391.554      1.1489857    
  15053500  -1625.5876      1754.3213      128.7337       198.2833       252.3389       177.1766       31393.598      1.1489933    
  15054000  -1642.8185      1737.2664      94.447876      241.44604      249.88575      177.20151      31402.587      1.1489902    
  15054500  -1660.4574      1759.7403      99.282912      178.17127      253.11836      177.18785      31397.682      1.1489795    
  15055000  -1691.4008      1770.6073      79.206419      100.43196      254.68145      177.20528      31403.816      1.1489994    
  15055500  -1720.8308      1783.7049      62.874096      15.829538      256.56539      177.23732      31415.197      1.1489854    
  15056000  -1782.0237      1769.0927     -12.931041      143.91256      254.4636       177.26746      31425.951      1.1489902    
  15056500  -1807.9733      1746.804      -61.169248      196.4585       251.25764      177.27819      31429.674      1.1489695    
  15057000  -1830.3572      1737.365      -92.992253      72.346026      249.89993      177.30103      31437.682      1.1490184    
  15057500  -1690.2834      1787.2458      96.962352      192.12799      257.07472      177.19514      31400.409      1.1490308    
  15058000  -1689.3059      1785.3634      96.057579     -63.561562      256.80396      177.25192      31420.384      1.1489962    
  15058500  -1687.5583      1727.1609      39.602618      80.26113       248.43219      177.19351      31399.747      1.1490018    
  15059000  -1680.9163      1814.7351      133.81876      125.67232      261.02873      177.21289      31406.677      1.1490006    
  15059500  -1659.2935      1803.1573      143.86374     -10.875175      259.3634       177.21165      31406.049      1.1489959    
  15060000  -1652.8305      1743.9822      91.151702      147.90434      250.85175      177.16142      31388.385      1.148992     
  15060500  -1666.5762      1779.6049      113.0287       87.102435      255.97566      177.25022      31419.787      1.1489927    
  15061000  -1698.6371      1769.077       70.439887      150.85574      254.46134      177.17639      31393.552      1.1489997    
  15061500  -1731.8619      1728.5411     -3.3207907      110.86759      248.63072      177.22178      31409.524      1.1490044    
  15062000  -1760.7076      1739.7764     -20.931197     -16.574363      250.24679      177.25426      31421.055      1.1490067    
  15062500  -1724.1291      1733.872       9.7429367      135.93794      249.39752      177.2068       31404.207      1.1490075    
  15063000  -1695.8868      1748.5886      52.701729     -162.12217      251.51432      177.18944      31398.134      1.1490175    
  15063500  -1655.1287      1742.8427      87.713976      2.8371896      250.68784      177.22495      31410.749      1.1489944    
  15064000  -1679.8827      1745.5859      65.703139      211.14303      251.08242      177.15038      31384.502      1.1489727    
  15064500  -1767.0764      1799.8434      32.76701      -39.327243      258.88674      177.28849      31433.278      1.148971     
  15065000  -1768.1082      1756.2782     -11.830091      247.72302      252.62038      177.24227      31416.886      1.1490049    
  15065500  -1744.7188      1729.4981     -15.2207        186.59869      248.76837      177.18838      31397.717      1.1489971    
  15066000  -1775.1262      1736.9308     -38.195379      92.417         249.83748      177.22935      31412.171      1.1489843    
  15066500  -1748.2269      1825.3187      77.091779      9.0484965      262.55106      177.22427      31410.477      1.1490091    
  15067000  -1633.8597      1772.9038      139.04414      140.45555      255.01179      177.12637      31375.84       1.1490224    
  15067500  -1632.8363      1845.0153      212.17895      110.157        265.38419      177.19309      31399.568      1.1490127    
  15068000  -1608.3938      1778.6027      170.20886      120.6879       255.8315       177.10954      31369.877      1.1490068    
  15068500  -1641.1299      1771.8027      130.67286     -64.166042      254.85341      177.2113       31405.855      1.1489756    
